oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,Play 4T,2020,2020,null,176,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~82.4% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,8A 2020,2020,2020,null,150,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.09 inches  91.0 cm (~79.2% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~282 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  EMUI 9
Honor,8A Prime,2020,2020,null,150,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.09 inches  91.0 cm (~79.2% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~282 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  EMUI 9
Honor,30S,2020,2020,null,190,Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.5 inches  102.0 cm (~83.8% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~405 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,Play 9A,2020,2020,null,185,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.3 inches  95.8 cm (~81.3% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~278 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  Magic UI 3.0  no Google Play Services
Honor,View30 Pro,2020,2020,null,206,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.57 inches  104.7 cm (~84.9% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~400 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,View30,2020,2020,null,213,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.57 inches  104.2 cm (~84.5% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~401 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,V30 Pro,2019,2019,null,206,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.57 inches  104.7 cm (~84.9% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~400 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3
Honor,MagicWatch 2,2019,2019,null,41,null,OLED capacitive touchscreen  16M colors,1.39 inches  12.5 cm (~59.4% screen-to-body ratio),454 x 454 pixels  1:1 ratio (~326 ppi density),Accelerometer  gyro  heart rate  barometer  compass,Huawei wearable platform
Honor,9X,2019,2019,null,8,Hybrid Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.59 inches  106.6 cm (~84.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~391 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  EMUI 9.1
Honor,20 lite (China),2019,2019,null,5,Hybrid Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.3 inches  95.8 cm (~83.3% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~418 ppi density),Fingerprint (under display  optical)  accelerometer  proximity  compass,Android 9.0 (Pie)  EMUI 9.1
Honor,Play 3e,2019,2019,null,146,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.71 inches  81.4 cm (~78.1% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~295 ppi density),Accelerometer  proximity,Android 9.0 (Pie)  EMUI 9.1
